FID,COUNT,SCIENTIFIC,COMMON_NAM
109,2,Leipoa ocellata,Malleefowl
109,2,Craterocephalus fluviatilis,Murray Hardyhead
110,2,Leipoa ocellata,Malleefowl
110,2,Dasyurus geoffroii,Chuditch
111,2,Botaurus poiciloptilus,Australasian Bittern
111,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
112,2,Botaurus poiciloptilus,Australasian Bittern
112,2,Zanda latirostris,Carnaby's Black Cockatoo
113,2,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
113,2,Lathamus discolor,Swift Parrot
114,2,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
114,2,Litoria raniformis,Growling Grass Frog
115,2,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
115,2,Miniopterus orianae bassanii,Southern Bent-wing Bat
116,2,Chelonia mydas,Green Turtle
116,2,Aipysurus apraefrontalis,Short-nosed Seasnake
117,2,Chelonia mydas,Green Turtle
117,2,Carcharias taurus (east coast population),Grey Nurse Shark (east coast population)
118,2,Chelonia mydas,Green Turtle
118,2,Lepidochelys olivacea,Olive Ridley Turtle
119,2,Chelonia mydas,Green Turtle
119,2,Pristis pristis,Freshwater Sawfish
120,2,Numenius madagascariensis,Eastern Curlew
120,2,Erythrotriorchis radiatus,Red Goshawk
121,2,Numenius madagascariensis,Eastern Curlew
121,2,Leipoa ocellata,Malleefowl
122,2,Numenius madagascariensis,Eastern Curlew
122,2,Macrotis lagotis,Greater Bilby
123,2,Numenius madagascariensis,Eastern Curlew
123,2,Neophoca cinerea,Australian Sea-lion
124,2,Numenius madagascariensis,Eastern Curlew
124,2,Pedionomus torquatus,Plains-wanderer
125,2,Numenius madagascariensis,Eastern Curlew
125,2,Pezoporus occidentalis,Night Parrot
126,2,Numenius madagascariensis,Eastern Curlew
126,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
127,2,Macrotis lagotis,Greater Bilby
127,2,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
128,2,Manorina melanotis,Black-eared Miner
128,2,Craterocephalus fluviatilis,Murray Hardyhead
129,2,Manorina melanotis,Black-eared Miner
129,2,Leipoa ocellata,Malleefowl
130,2,Zanda latirostris,Carnaby's Black Cockatoo
130,2,Neophoca cinerea,Australian Sea-lion
131,2,Zanda latirostris,Carnaby's Black Cockatoo
131,2,Numenius madagascariensis,Eastern Curlew
132,2,Zanda latirostris,Carnaby's Black Cockatoo
132,2,Pezoporus flaviventris,Western Ground Parrot
133,2,Zanda latirostris,Carnaby's Black Cockatoo
133,2,Philotheca wonganensis,Wongan Eriostemon
134,3,Accipiter hiogaster natalis,Christmas Island Goshawk
134,3,Chelonia mydas,Green Turtle
134,3,Lepidochelys olivacea,Olive Ridley Turtle
135,2,Pedionomus torquatus,Plains-wanderer
135,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
136,2,Pedionomus torquatus,Plains-wanderer
136,2,Polytelis alexandrae,Princess Parrot
137,2,Pedionomus torquatus,Plains-wanderer
137,2,Tiliqua adelaidensis,Pygmy Blue-tongue Lizard
138,2,Petrogale penicillata,Brush-tailed Rock-wallaby
138,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
139,2,Pezoporus flaviventris,Western Ground Parrot
139,2,Neophoca cinerea,Australian Sea-lion
140,2,Pezoporus occidentalis,Night Parrot
140,2,Acacia peuce,Waddy
141,2,Pezoporus occidentalis,Night Parrot
141,2,Dasyurus hallucatus,Northern Quoll
142,2,Pezoporus occidentalis,Night Parrot
142,2,Erythrotriorchis radiatus,Red Goshawk
143,2,Pezoporus occidentalis,Night Parrot
143,2,Liopholis kintorei,Great Desert Skink
144,2,Pezoporus occidentalis,Night Parrot
144,2,Macrotis lagotis,Greater Bilby
145,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
145,2,Lasiorhinus krefftii,Northern Hairy-nosed Wombat
146,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
146,2,Pseudomys novaehollandiae,New Holland Mouse
147,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
147,2,Scaturiginichthys vermeilipinnis,Redfin Blue Eye
148,2,Pedionomus torquatus,Plains-wanderer
148,2,Litoria raniformis,Growling Grass Frog
149,2,Pedionomus torquatus,Plains-wanderer
149,2,Macrotis lagotis,Greater Bilby
150,2,Pedionomus torquatus,Plains-wanderer
150,2,Neophoca cinerea,Australian Sea-lion
151,2,Numenius madagascariensis,Eastern Curlew
151,2,Pristis pristis,Freshwater Sawfish
152,2,Numenius madagascariensis,Eastern Curlew
152,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
153,2,Numenius madagascariensis,Eastern Curlew
153,2,Tiliqua adelaidensis,Pygmy Blue-tongue Lizard
154,2,Pedionomus torquatus,Plains-wanderer
154,2,Anthochaera phrygia,Regent Honeyeater
155,2,Pedionomus torquatus,Plains-wanderer
155,2,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
156,2,Pedionomus torquatus,Plains-wanderer
156,2,Craterocephalus fluviatilis,Murray Hardyhead
157,2,Pedionomus torquatus,Plains-wanderer
157,2,Erythrotriorchis radiatus,Red Goshawk
158,2,Pedionomus torquatus,Plains-wanderer
158,2,Lathamus discolor,Swift Parrot
159,2,Leipoa ocellata,Malleefowl
159,2,Pezoporus occidentalis,Night Parrot
160,2,Leipoa ocellata,Malleefowl
160,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
161,2,Leipoa ocellata,Malleefowl
161,2,Polytelis alexandrae,Princess Parrot
162,2,Leipoa ocellata,Malleefowl
162,2,Prasophyllum laxum,Lax Leek Orchid
163,2,Leipoa ocellata,Malleefowl
163,2,Tiliqua adelaidensis,Pygmy Blue-tongue Lizard
164,2,Litoria raniformis,Growling Grass Frog
164,2,Craterocephalus fluviatilis,Murray Hardyhead
165,2,Litoria raniformis,Growling Grass Frog
165,2,Miniopterus orianae bassanii,Southern Bent-wing Bat
166,2,Litoria raniformis,Growling Grass Frog
166,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
167,2,Macrotis lagotis,Greater Bilby
167,2,Chelonia mydas,Green Turtle
168,2,Macrotis lagotis,Greater Bilby
168,2,Dasyurus hallucatus,Northern Quoll
169,2,Macrotis lagotis,Greater Bilby
169,2,Liopholis kintorei,Great Desert Skink
170,2,Macrotis lagotis,Greater Bilby
170,2,Pristis pristis,Freshwater Sawfish
171,2,Numenius madagascariensis,Eastern Curlew
171,2,Chelonia mydas,Green Turtle
172,2,Numenius madagascariensis,Eastern Curlew
172,2,Dasyurus hallucatus,Northern Quoll
173,2,Polytelis alexandrae,Princess Parrot
173,2,Chelonia mydas,Green Turtle
174,2,Polytelis alexandrae,Princess Parrot
174,2,Erythrotriorchis radiatus,Red Goshawk
175,2,Polytelis alexandrae,Princess Parrot
175,2,Liopholis kintorei,Great Desert Skink
176,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
176,2,Neophema chrysogaster,Orange-bellied Parrot
177,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
177,2,Neophoca cinerea,Australian Sea-lion
178,2,Polytelis alexandrae,Princess Parrot
178,2,Macrotis lagotis,Greater Bilby
179,2,Polytelis alexandrae,Princess Parrot
179,2,Macrozamia macdonnellii,MacDonnell Ranges Cycad
180,2,Polytelis alexandrae,Princess Parrot
180,2,Zyzomys pedunculatus,Central Rock-rat
181,2,Psephotus chrysopterygius,Golden-shouldered Parrot
181,2,Erythrotriorchis radiatus,Red Goshawk
182,2,Pseudophryne corroboree,Southern Corroboree Frog
182,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
183,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
183,2,Anthochaera phrygia,Regent Honeyeater
184,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
184,2,Chelonia mydas,Green Turtle
185,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
185,2,Lathamus discolor,Swift Parrot
186,3,Botaurus poiciloptilus,Australasian Bittern
186,3,Lathamus discolor,Swift Parrot
186,3,Litoria raniformis,Growling Grass Frog
187,3,Botaurus poiciloptilus,Australasian Bittern
187,3,Lathamus discolor,Swift Parrot
187,3,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
188,3,Botaurus poiciloptilus,Australasian Bittern
188,3,Leipoa ocellata,Malleefowl
188,3,Anthochaera phrygia,Regent Honeyeater
189,3,Botaurus poiciloptilus,Australasian Bittern
189,3,Leipoa ocellata,Malleefowl
189,3,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
190,3,Botaurus poiciloptilus,Australasian Bittern
190,3,Leipoa ocellata,Malleefowl
190,3,Lathamus discolor,Swift Parrot
191,3,Botaurus poiciloptilus,Australasian Bittern
191,3,Leipoa ocellata,Malleefowl
191,3,Litoria raniformis,Growling Grass Frog
192,3,Botaurus poiciloptilus,Australasian Bittern
192,3,Leipoa ocellata,Malleefowl
192,3,Miniopterus orianae bassanii,Southern Bent-wing Bat
193,3,Botaurus poiciloptilus,Australasian Bittern
193,3,Leipoa ocellata,Malleefowl
193,3,Neophema chrysogaster,Orange-bellied Parrot
194,3,Botaurus poiciloptilus,Australasian Bittern
194,3,Leipoa ocellata,Malleefowl
194,3,Pedionomus torquatus,Plains-wanderer
195,3,Botaurus poiciloptilus,Australasian Bittern
195,3,Leipoa ocellata,Malleefowl
195,3,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
196,3,Botaurus poiciloptilus,Australasian Bittern
196,3,Leipoa ocellata,Malleefowl
196,3,Tiliqua adelaidensis,Pygmy Blue-tongue Lizard
197,3,Botaurus poiciloptilus,Australasian Bittern
197,3,Numenius madagascariensis,Eastern Curlew
197,3,Thinornis cucullatus cucullatus,Eastern Hooded Plover
198,3,Botaurus poiciloptilus,Australasian Bittern
198,3,Pedionomus torquatus,Plains-wanderer
198,3,Anthochaera phrygia,Regent Honeyeater
199,3,Botaurus poiciloptilus,Australasian Bittern
199,3,Pedionomus torquatus,Plains-wanderer
199,3,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
200,3,Botaurus poiciloptilus,Australasian Bittern
200,3,Pedionomus torquatus,Plains-wanderer
200,3,Craterocephalus fluviatilis,Murray Hardyhead
201,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
201,2,Leipoa ocellata,Malleefowl
202,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
202,2,Litoria raniformis,Growling Grass Frog
203,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
203,2,Pedionomus torquatus,Plains-wanderer
204,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
204,2,Pseudomys novaehollandiae,New Holland Mouse
205,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
205,2,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna
206,2,Thinornis cucullatus cucullatus,Eastern Hooded Plover
206,2,Thymichthys politus,Red Handfish
207,2,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
207,2,Dasyurus hallucatus,Northern Quoll
208,2,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
208,2,Pristis pristis,Freshwater Sawfish
209,2,Zanda latirostris,Carnaby's Black Cockatoo
209,2,Acacia volubilis,Tangled Wattle
210,2,Zanda latirostris,Carnaby's Black Cockatoo
210,2,Chelonia mydas,Green Turtle
211,2,Zanda latirostris,Carnaby's Black Cockatoo
211,2,Dasyurus geoffroii,Chuditch
212,2,Zanda latirostris,Carnaby's Black Cockatoo
213,2,Zanda latirostris,Carnaby's Black Cockatoo
213,2,Eucalyptus leprophloia,Scaly Butt Mallee
214,2,Zanda latirostris,Carnaby's Black Cockatoo
214,2,Leipoa ocellata,Malleefowl
215,2,Zanda latirostris,Carnaby's Black Cockatoo
215,2,Myrmecobius fasciatus,Numbat
216,3,Anthochaera phrygia,Regent Honeyeater
216,3,Pimelea venosa,Koala (combined populations of Queensland
217,3,Anthochaera phrygia,Regent Honeyeater
217,3,Pseudophryne corroboree,Southern Corroboree Frog
217,3,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
218,3,Botaurus poiciloptilus,Australasian Bittern
218,3,Anthochaera phrygia,Regent Honeyeater
218,3,Lathamus discolor,Swift Parrot
219,3,Botaurus poiciloptilus,Australasian Bittern
219,3,Anthochaera phrygia,Regent Honeyeater
219,3,Litoria raniformis,Growling Grass Frog
220,3,Botaurus poiciloptilus,Australasian Bittern
220,3,Anthochaera phrygia,Regent Honeyeater
220,3,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
221,3,Botaurus poiciloptilus,Australasian Bittern
221,3,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
221,3,Lathamus discolor,Swift Parrot
222,3,Botaurus poiciloptilus,Australasian Bittern
222,3,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
222,3,Litoria raniformis,Growling Grass Frog
223,3,Botaurus poiciloptilus,Australasian Bittern
223,3,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
223,3,Miniopterus orianae bassanii,Southern Bent-wing Bat
224,3,Botaurus poiciloptilus,Australasian Bittern
224,3,Lathamus discolor,Swift Parrot
224,3,Astacopsis gouldi,Giant Freshwater Crayfish
225,3,Botaurus poiciloptilus,Australasian Bittern
225,3,Lathamus discolor,Swift Parrot
225,3,Dasyurus viverrinus,Eastern Quoll
226,3,Botaurus poiciloptilus,Australasian Bittern
226,3,Lathamus discolor,Swift Parrot
226,3,Gymnobelideus leadbeateri,Leadbeater's Possum
227,2,Pezoporus occidentalis,Night Parrot
227,2,Pedionomus torquatus,Plains-wanderer
228,2,Pezoporus occidentalis,Night Parrot
228,2,Polytelis alexandrae,Princess Parrot
229,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
229,2,Burramys parvus,Mountain Pygmy-possum
230,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
230,2,Dasyurus hallucatus,Northern Quoll
231,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
231,2,Delma torquata,Adorned Delma
232,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
232,2,Dichanthium queenslandicum,King Blue-grass
233,3,Botaurus poiciloptilus,Australasian Bittern
233,3,Neophema chrysogaster,Orange-bellied Parrot
233,3,Miniopterus orianae bassanii,Southern Bent-wing Bat
234,3,Botaurus poiciloptilus,Australasian Bittern
234,3,Neophoca cinerea,Australian Sea-lion
234,3,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna
235,3,Botaurus poiciloptilus,Australasian Bittern
235,3,Numenius madagascariensis,Eastern Curlew
235,3,Leipoa ocellata,Malleefowl
236,3,Botaurus poiciloptilus,Australasian Bittern
236,3,Numenius madagascariensis,Eastern Curlew
236,3,Neophema chrysogaster,Orange-bellied Parrot
237,3,Anthochaera phrygia,Regent Honeyeater
237,3,Chelonia mydas,Green Turtle
237,3,Carcharias taurus (east coast population),Grey Nurse Shark (east coast population)
238,3,Anthochaera phrygia,Regent Honeyeater
238,3,Lathamus discolor,Swift Parrot
238,3,Gymnobelideus leadbeateri,Leadbeater's Possum
239,3,Botaurus poiciloptilus,Australasian Bittern
239,3,Zanda latirostris,Carnaby's Black Cockatoo
239,3,Dasyurus geoffroii,Chuditch
240,3,Botaurus poiciloptilus,Australasian Bittern
240,3,Zanda latirostris,Carnaby's Black Cockatoo
240,3,Leipoa ocellata,Malleefowl
241,3,Botaurus poiciloptilus,Australasian Bittern
241,3,Zanda latirostris,Carnaby's Black Cockatoo
241,3,Neophoca cinerea,Australian Sea-lion
242,3,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
242,3,Lathamus discolor,Swift Parrot
242,3,Litoria raniformis,Growling Grass Frog
243,3,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
243,3,Lathamus discolor,Swift Parrot
243,3,Miniopterus orianae bassanii,Southern Bent-wing Bat
244,3,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
244,3,Litoria raniformis,Growling Grass Frog
244,3,Miniopterus orianae bassanii,Southern Bent-wing Bat
245,3,Chelonia mydas,Green Turtle
245,3,Aipysurus apraefrontalis,Short-nosed Seasnake
245,3,Pristis pristis,Freshwater Sawfish
246,3,Chelonia mydas,Green Turtle
246,3,Lepidochelys olivacea,Olive Ridley Turtle
246,3,Aipysurus apraefrontalis,Short-nosed Seasnake
247,3,Chelonia mydas,Green Turtle
247,3,Lepidochelys olivacea,Olive Ridley Turtle
247,3,Carcharias taurus (east coast population),Grey Nurse Shark (east coast population)
248,3,Anthochaera phrygia,Regent Honeyeater
248,3,Lathamus discolor,Swift Parrot
248,3,Litoria raniformis,Growling Grass Frog
249,3,Anthochaera phrygia,Regent Honeyeater
249,3,Lathamus discolor,Swift Parrot
249,3,Megascolides australis,Giant Gippsland Earthworm
250,3,Anthochaera phrygia,Regent Honeyeater
250,3,Lathamus discolor,Swift Parrot
250,3,Paralucia pyrodiscus lucida,Eltham Copper Butterfly
251,3,Anthochaera phrygia,Regent Honeyeater
251,3,Lathamus discolor,Swift Parrot
251,3,Petrogale penicillata,Brush-tailed Rock-wallaby
252,3,Anthochaera phrygia,Regent Honeyeater
252,3,Lathamus discolor,Swift Parrot
252,3,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
253,3,Anthochaera phrygia,Regent Honeyeater
253,3,Petrogale penicillata,Brush-tailed Rock-wallaby
253,3,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
254,3,Anthochaera phrygia,Regent Honeyeater
254,3,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
254,3,Burramys parvus,Mountain Pygmy-possum
255,3,Anthochaera phrygia,Regent Honeyeater
255,3,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
255,3,Pseudomys novaehollandiae,New Holland Mouse
256,3,Anthochaera phrygia,Regent Honeyeater
256,3,Philoria kundagungan,Mountain Frog
256,3,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
257,3,Hippocampus whitei,White's Seahorse
257,3,Chelonia mydas,Green Turtle
257,3,Carcharias taurus (east coast population),Grey Nurse Shark (east coast population)
