FID,COUNT,LISTED_TAX,SCIENTIFIC,COMMON_NAM,Shape__Area,Shape__Length
47,2,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",112271774.511719,60282.6902554664
48,2,1001,Botaurus poiciloptilus,Australasian Bittern,281417232.359375,87264.1390141309
48,2,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",281417232.359375,87264.1390141309
49,2,1001,Botaurus poiciloptilus,Australasian Bittern,19625489158.4492,3682341.50532144
49,2,906,Pedionomus torquatus,Plains-wanderer,19625489158.4492,3682341.50532144
50,2,934,Leipoa ocellata,Malleefowl,20563377748.2031,3654248.68518984
50,2,906,Pedionomus torquatus,Plains-wanderer,20563377748.2031,3654248.68518984
51,1,449,Manorina melanotis,Black-eared Miner,1386888696.10938,664091.311605792
52,1,87645,Miniopterus orianae bassanii,Southern Bent-wing Bat,77028863.203125,38810.4339256995
53,1,747,Neophema chrysogaster,Orange-bellied Parrot,55637828443.7852,3778620.19809074
54,1,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",214372722774.539,9725087.21244471
55,1,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",15256410293.3096,3194883.7994154
56,1,86648,Olearia arckaringensis,Arckaringa Daisy,1119686682.88672,164492.995253688
57,1,906,Pedionomus torquatus,Plains-wanderer,189075054046.441,12513944.4352353
58,1,59350,Pezoporus occidentalis,Night Parrot,445445591812.572,18309005.3805304
59,1,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",287436015936.076,24345994.1547101
60,1,758,Polytelis alexandrae,"Princess Parrot, Alexandra's Parrot",211787458929.99,15589715.8603388
61,1,60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",7656574793.08398,1968558.04695294
62,1,720,Psephotus chrysopterygius,"Golden-shouldered Parrot, Alwal, Thaku, Arrmorral, Minpin",3755533482.67773,376296.513566195
63,1,1915,Pseudophryne corroboree,Southern Corroboree Frog,191747418.820313,63609.0831446847
64,1,185,Pteropus conspicillatus,Spectacled Flying-fox,32560552.1933594,22831.8057960615
65,1,56792,Scaturiginichthys vermeilipinnis,"Redfin Blue Eye, Redfin Blue-eye",503886156.667969,92812.0863938562
66,1,87597,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna,229205046.566406,85707.475060762
67,1,90381,Thinornis cucullatus cucullatus,"Eastern Hooded Plover, Eastern Hooded Plover",16173006989.082,4127717.74573072
68,2,934,Leipoa ocellata,Malleefowl,7239105688.77734,1895227.45733705
68,2,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",7239105688.77734,1895227.45733705
69,2,1001,Botaurus poiciloptilus,Australasian Bittern,6869225450.60547,1866632.97202937
69,2,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",6869225450.60547,1866632.97202937
70,2,1001,Botaurus poiciloptilus,Australasian Bittern,1070089760.90625,188518.494988391
70,2,87597,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna,1070089760.90625,188518.494988391
