FID,COUNT,LISTED_TAX,SCIENTIFIC,COMMON_NAM,Shape__Area,Shape__Length
281,3,1001,Botaurus poiciloptilus,Australasian Bittern,38018182.0195313,24792.875084362
281,3,747,Neophema chrysogaster,Orange-bellied Parrot,38018182.0195313,24792.875084362
281,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",38018182.0195313,24792.875084362
282,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",1396980209.08398,402803.044983675
282,3,1765,Chelonia mydas,Green Turtle,1396980209.08398,402803.044983675
282,3,1115,Aipysurus apraefrontalis,Short-nosed Seasnake,1396980209.08398,402803.044983675
283,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",2723031993.9707,1178845.21036077
283,3,1765,Chelonia mydas,Green Turtle,2723031993.9707,1178845.21036077
283,3,1767,Lepidochelys olivacea,"Olive Ridley Turtle, Pacific Ridley Turtle",2723031993.9707,1178845.21036077
284,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",384837041.400391,180911.750285361
284,3,1765,Chelonia mydas,Green Turtle,384837041.400391,180911.750285361
284,3,60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",384837041.400391,180911.750285361
285,3,942,Erythrotriorchis radiatus,Red Goshawk,10928545981.6348,804344.476412189
285,3,564,Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",10928545981.6348,804344.476412189
285,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",10928545981.6348,804344.476412189
286,3,942,Erythrotriorchis radiatus,Red Goshawk,141753475.625,73199.6269590687
286,3,82338,Anthochaera phrygia,Regent Honeyeater,141753475.625,73199.6269590687
286,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",141753475.625,73199.6269590687
287,3,942,Erythrotriorchis radiatus,Red Goshawk,4650585891.87695,1998119.96449915
287,3,1765,Chelonia mydas,Green Turtle,4650585891.87695,1998119.96449915
287,3,1767,Lepidochelys olivacea,"Olive Ridley Turtle, Pacific Ridley Turtle",4650585891.87695,1998119.96449915
288,3,942,Erythrotriorchis radiatus,Red Goshawk,191229428.703125,79203.4102099434
288,3,1765,Chelonia mydas,Green Turtle,191229428.703125,79203.4102099434
288,3,60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",191229428.703125,79203.4102099434
289,3,942,Erythrotriorchis radiatus,Red Goshawk,132603791.539063,46087.900827352
289,3,282,Macrotis lagotis,Greater Bilby,132603791.539063,46087.900827352
289,3,83160,Liopholis kintorei,"Great Desert Skink, Tjakura, Warrarna, Mulyamiji",132603791.539063,46087.900827352
290,3,942,Erythrotriorchis radiatus,Red Goshawk,777413349.404297,273750.638390076
290,3,282,Macrotis lagotis,Greater Bilby,777413349.404297,273750.638390076
290,3,83091,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum,777413349.404297,273750.638390076
291,3,942,Erythrotriorchis radiatus,Red Goshawk,70012439.9882813,36289.2485856854
291,3,225,Petrogale penicillata,Brush-tailed Rock-wallaby,70012439.9882813,36289.2485856854
291,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",70012439.9882813,36289.2485856854
292,3,942,Erythrotriorchis radiatus,Red Goshawk,103080754879.436,9157190.95201737
292,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",103080754879.436,9157190.95201737
292,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",103080754879.436,9157190.95201737
293,3,942,Erythrotriorchis radiatus,Red Goshawk,715279870.923828,171892.102065178
293,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",715279870.923828,171892.102065178
293,3,185,Pteropus conspicillatus,Spectacled Flying-fox,715279870.923828,171892.102065178
294,3,942,Erythrotriorchis radiatus,Red Goshawk,64967018.25,34476.2960594449
294,3,185,Pteropus conspicillatus,Spectacled Flying-fox,64967018.25,34476.2960594449
294,3,1765,Chelonia mydas,Green Turtle,64967018.25,34476.2960594449
295,3,942,Erythrotriorchis radiatus,Red Goshawk,96708582858.3867,8332218.67831864
295,3,83091,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum,96708582858.3867,8332218.67831864
295,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",96708582858.3867,8332218.67831864
296,5,1001,Botaurus poiciloptilus,Australasian Bittern,188948599.71875,87721.1153595342
296,5,59523,Zanda latirostris,"Carnaby's Black Cockatoo, Short-billed Black-cockatoo",188948599.71875,87721.1153595342
296,5,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",188948599.71875,87721.1153595342
296,5,330,Dasyurus geoffroii,"Chuditch, Western Quoll",188948599.71875,87721.1153595342
296,5,25911,Pseudocheirus occidentalis,"Western Ringtail Possum, Ngwayir, Womp, Woder, Ngoor, Ngoolangit",188948599.71875,87721.1153595342
297,3,942,Erythrotriorchis radiatus,Red Goshawk,1449574934.98633,465142.42820065
297,3,83091,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum,1449574934.98633,465142.42820065
297,3,60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",1449574934.98633,465142.42820065
298,12,1001,Botaurus poiciloptilus,Australasian Bittern,104723671.429688,47352.4271963963
298,12,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",104723671.429688,47352.4271963963
298,12,942,Erythrotriorchis radiatus,Red Goshawk,104723671.429688,47352.4271963963
298,12,82338,Anthochaera phrygia,Regent Honeyeater,104723671.429688,47352.4271963963
298,12,744,Lathamus discolor,Swift Parrot,104723671.429688,47352.4271963963
298,12,78866,Gossia gonoclada,Angle-stemmed Myrtle,104723671.429688,47352.4271963963
298,12,19162,Rhodomyrtus psidioides,Native Guava,104723671.429688,47352.4271963963
298,12,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",104723671.429688,47352.4271963963
298,12,331,Dasyurus hallucatus,"Northern Quoll, Digul [G",104723671.429688,47352.4271963963
298,12,66240,Hippocampus,,104723671.429688,47352.4271963963
298,12,1765,,,104723671.429688,47352.4271963963
298,12,1767,,,104723671.429688,47352.4271963963
299,3,449,Manorina melanotis,Black-eared Miner,5025517373.26563,1043010.40196658
299,3,934,Leipoa ocellata,Malleefowl,5025517373.26563,1043010.40196658
299,3,906,Pedionomus torquatus,Plains-wanderer,5025517373.26563,1043010.40196658
300,3,449,Manorina melanotis,Black-eared Miner,75160286.5351563,35767.4236260937
300,3,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",75160286.5351563,35767.4236260937
300,3,934,Leipoa ocellata,Malleefowl,75160286.5351563,35767.4236260937
301,3,747,Neophema chrysogaster,Orange-bellied Parrot,39626958.8828125,25370.9507593896
301,3,82338,Anthochaera phrygia,Regent Honeyeater,39626958.8828125,25370.9507593896
301,3,744,Lathamus discolor,Swift Parrot,39626958.8828125,25370.9507593896
302,3,747,Neophema chrysogaster,Orange-bellied Parrot,164949018.617188,51899.1445204748
302,3,744,Lathamus discolor,Swift Parrot,164949018.617188,51899.1445204748
302,3,64415,Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",164949018.617188,51899.1445204748
303,3,747,Neophema chrysogaster,Orange-bellied Parrot,125574457.453125,52341.380665459
303,3,744,Lathamus discolor,Swift Parrot,125574457.453125,52341.380665459
303,3,83504,Zearaja maugeana,"Maugean Skate, Port Davey Skate",125574457.453125,52341.380665459
304,3,934,Leipoa ocellata,Malleefowl,10857134861.2695,951542.886721228
304,3,59350,Pezoporus occidentalis,Night Parrot,10857134861.2695,951542.886721228
304,3,282,Macrotis lagotis,Greater Bilby,10857134861.2695,951542.886721228
305,3,934,Leipoa ocellata,Malleefowl,2389771627.08203,282914.857938668
305,3,59350,Pezoporus occidentalis,Night Parrot,2389771627.08203,282914.857938668
305,3,758,Polytelis alexandrae,"Princess Parrot, Alexandra's Parrot",2389771627.08203,282914.857938668
306,3,934,Leipoa ocellata,Malleefowl,1140711327.125,234210.567065183
306,3,758,Polytelis alexandrae,"Princess Parrot, Alexandra's Parrot",1140711327.125,234210.567065183
306,3,83160,Liopholis kintorei,"Great Desert Skink, Tjakura, Warrarna, Mulyamiji",1140711327.125,234210.567065183
307,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",156015510.695313,64316.2547595307
307,3,87645,Miniopterus orianae bassanii,Southern Bent-wing Bat,156015510.695313,64316.2547595307
307,3,76211,Lachnagrostis adamsonii,"Adamson's Blown-grass, Adamson's Blowngrass",156015510.695313,64316.2547595307
308,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",112205296.878906,46835.2752659173
308,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",112205296.878906,46835.2752659173
308,3,56791,Craterocephalus fluviatilis,Murray Hardyhead,112205296.878906,46835.2752659173
309,3,282,Macrotis lagotis,Greater Bilby,291573515.712891,124999.32186586
309,3,1765,Chelonia mydas,Green Turtle,291573515.712891,124999.32186586
309,3,1115,Aipysurus apraefrontalis,Short-nosed Seasnake,291573515.712891,124999.32186586
310,3,282,Macrotis lagotis,Greater Bilby,1424405742.43945,354137.586138026
310,3,1765,Chelonia mydas,Green Turtle,1424405742.43945,354137.586138026
310,3,60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",1424405742.43945,354137.586138026
311,3,282,Macrotis lagotis,Greater Bilby,99069549.9667969,57115.3546713475
311,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",99069549.9667969,57115.3546713475
311,3,1765,Chelonia mydas,Green Turtle,99069549.9667969,57115.3546713475
312,3,744,Lathamus discolor,Swift Parrot,10639910494.6641,1891198.14385083
312,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",10639910494.6641,1891198.14385083
312,3,333,Dasyurus viverrinus,"Eastern Quoll, Luaner",10639910494.6641,1891198.14385083
313,3,744,Lathamus discolor,Swift Parrot,1126981916.70313,280132.804749349
313,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",1126981916.70313,280132.804749349
313,3,26167,Galaxias fontanus,Swan Galaxias,1126981916.70313,280132.804749349
314,3,744,Lathamus discolor,Swift Parrot,275047363.585938,123321.866865225
314,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",275047363.585938,123321.866865225
314,3,87645,Miniopterus orianae bassanii,Southern Bent-wing Bat,275047363.585938,123321.866865225
315,3,744,Lathamus discolor,Swift Parrot,249996088.890625,93266.9474524051
315,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",249996088.890625,93266.9474524051
315,3,81615,Prasophyllum taphanyx,Graveside Leek-orchid,249996088.890625,93266.9474524051
316,3,744,Lathamus discolor,Swift Parrot,39489907.296875,25321.7045328944
316,3,64420,Megascolides australis,Giant Gippsland Earthworm,39489907.296875,25321.7045328944
316,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",39489907.296875,25321.7045328944
317,3,744,Lathamus discolor,Swift Parrot,584778286.285156,254117.876750591
317,3,225,Petrogale penicillata,Brush-tailed Rock-wallaby,584778286.285156,254117.876750591
317,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",584778286.285156,254117.876750591
318,3,744,Lathamus discolor,Swift Parrot,34966162.9648438,23696.2046824537
318,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",34966162.9648438,23696.2046824537
318,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",34966162.9648438,23696.2046824537
319,3,934,Leipoa ocellata,Malleefowl,12816096754.668,1922439.02527262
319,3,82338,Anthochaera phrygia,Regent Honeyeater,12816096754.668,1922439.02527262
319,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",12816096754.668,1922439.02527262
320,3,934,Leipoa ocellata,Malleefowl,1237050945.50781,445077.682949721
320,3,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,1237050945.50781,445077.682949721
320,3,744,Lathamus discolor,Swift Parrot,1237050945.50781,445077.682949721
321,3,934,Leipoa ocellata,Malleefowl,502254714.835938,191754.846690983
321,3,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,502254714.835938,191754.846690983
321,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",502254714.835938,191754.846690983
322,3,934,Leipoa ocellata,Malleefowl,771588272.375,291548.650649392
322,3,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,771588272.375,291548.650649392
322,3,87645,Miniopterus orianae bassanii,Southern Bent-wing Bat,771588272.375,291548.650649392
323,3,934,Leipoa ocellata,Malleefowl,231585178.839844,75007.6541824408
323,3,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,231585178.839844,75007.6541824408
323,3,87544,Spyridium furculentum,Forked Spyridium,231585178.839844,75007.6541824408
324,3,934,Leipoa ocellata,Malleefowl,1283126286.60547,262179.938260011
324,3,744,Lathamus discolor,Swift Parrot,1283126286.60547,262179.938260011
324,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",1283126286.60547,262179.938260011
325,3,934,Leipoa ocellata,Malleefowl,2126434873.41016,707192.090880421
325,3,744,Lathamus discolor,Swift Parrot,2126434873.41016,707192.090880421
325,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",2126434873.41016,707192.090880421
326,3,934,Leipoa ocellata,Malleefowl,1162924475.71875,516942.214934253
326,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",1162924475.71875,516942.214934253
326,3,56791,Craterocephalus fluviatilis,Murray Hardyhead,1162924475.71875,516942.214934253
327,3,934,Leipoa ocellata,Malleefowl,414128052.589844,161462.632893753
327,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",414128052.589844,161462.632893753
327,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",414128052.589844,161462.632893753
328,3,934,Leipoa ocellata,Malleefowl,34431927.0742188,23504.2397555314
328,3,282,Macrotis lagotis,Greater Bilby,34431927.0742188,23504.2397555314
328,3,1765,Chelonia mydas,Green Turtle,34431927.0742188,23504.2397555314
329,3,934,Leipoa ocellata,Malleefowl,21684564286.8984,1207727.71072649
329,3,282,Macrotis lagotis,Greater Bilby,21684564286.8984,1207727.71072649
329,3,83160,Liopholis kintorei,"Great Desert Skink, Tjakura, Warrarna, Mulyamiji",21684564286.8984,1207727.71072649
330,3,934,Leipoa ocellata,Malleefowl,475300564.207031,134650.742770722
330,3,282,Macrotis lagotis,Greater Bilby,475300564.207031,134650.742770722
330,3,294,Myrmecobius fasciatus,Numbat,475300564.207031,134650.742770722
331,3,934,Leipoa ocellata,Malleefowl,113819538.21875,49526.6515171836
331,3,747,Neophema chrysogaster,Orange-bellied Parrot,113819538.21875,49526.6515171836
331,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",113819538.21875,49526.6515171836
332,3,934,Leipoa ocellata,Malleefowl,1809524653.49219,355109.649412105
332,3,906,Pedionomus torquatus,Plains-wanderer,1809524653.49219,355109.649412105
332,3,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,1809524653.49219,355109.649412105
333,3,934,Leipoa ocellata,Malleefowl,114031442.613281,60726.3137699293
333,3,906,Pedionomus torquatus,Plains-wanderer,114031442.613281,60726.3137699293
333,3,56791,Craterocephalus fluviatilis,Murray Hardyhead,114031442.613281,60726.3137699293
334,3,934,Leipoa ocellata,Malleefowl,269421041.023438,124879.93466322
334,3,906,Pedionomus torquatus,Plains-wanderer,269421041.023438,124879.93466322
334,3,744,Lathamus discolor,Swift Parrot,269421041.023438,124879.93466322
335,3,934,Leipoa ocellata,Malleefowl,5297717552.0625,1409318.58785136
335,3,906,Pedionomus torquatus,Plains-wanderer,5297717552.0625,1409318.58785136
335,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",5297717552.0625,1409318.58785136
336,3,934,Leipoa ocellata,Malleefowl,261345097.089844,131523.79284366
336,3,906,Pedionomus torquatus,Plains-wanderer,261345097.089844,131523.79284366
336,3,282,Macrotis lagotis,Greater Bilby,261345097.089844,131523.79284366
337,3,934,Leipoa ocellata,Malleefowl,278905960.132813,83504.9612139757
337,3,59350,Pezoporus occidentalis,Night Parrot,278905960.132813,83504.9612139757
337,3,83160,Liopholis kintorei,"Great Desert Skink, Tjakura, Warrarna, Mulyamiji",278905960.132813,83504.9612139757
338,3,282,Macrotis lagotis,Greater Bilby,757249222.169922,239378.484204134
338,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",757249222.169922,239378.484204134
338,3,60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",757249222.169922,239378.484204134
339,3,449,Manorina melanotis,Black-eared Miner,748111444.03125,281522.194914238
339,3,934,Leipoa ocellata,Malleefowl,748111444.03125,281522.194914238
339,3,56791,Craterocephalus fluviatilis,Murray Hardyhead,748111444.03125,281522.194914238
340,3,449,Manorina melanotis,Black-eared Miner,749538073.964844,290331.182732297
340,3,934,Leipoa ocellata,Malleefowl,749538073.964844,290331.182732297
340,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",749538073.964844,290331.182732297
341,3,449,Manorina melanotis,Black-eared Miner,74005071.1796875,37723.905981354
341,3,934,Leipoa ocellata,Malleefowl,74005071.1796875,37723.905981354
341,3,282,Macrotis lagotis,Greater Bilby,74005071.1796875,37723.905981354
342,3,449,Manorina melanotis,Black-eared Miner,1037958038.57031,244431.585732651
342,3,934,Leipoa ocellata,Malleefowl,1037958038.57031,244431.585732651
342,3,294,Myrmecobius fasciatus,Numbat,1037958038.57031,244431.585732651
343,3,942,Erythrotriorchis radiatus,Red Goshawk,641593847.921875,396625.966333893
343,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",641593847.921875,396625.966333893
343,3,1765,Chelonia mydas,Green Turtle,641593847.921875,396625.966333893
344,3,942,Erythrotriorchis radiatus,Red Goshawk,6672217780.85938,1869609.52465273
344,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",6672217780.85938,1869609.52465273
344,3,60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",6672217780.85938,1869609.52465273
345,3,942,Erythrotriorchis radiatus,Red Goshawk,2889590692.2168,760991.887253328
345,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",2889590692.2168,760991.887253328
345,3,185,Pteropus conspicillatus,Spectacled Flying-fox,2889590692.2168,760991.887253328
346,3,942,Erythrotriorchis radiatus,Red Goshawk,876745100.679688,335106.345978952
346,3,744,Lathamus discolor,Swift Parrot,876745100.679688,335106.345978952
346,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",876745100.679688,335106.345978952
347,3,59350,Pezoporus occidentalis,Night Parrot,70130971849.5273,3401058.30572231
347,3,282,Macrotis lagotis,Greater Bilby,70130971849.5273,3401058.30572231
347,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",70130971849.5273,3401058.30572231
348,3,59350,Pezoporus occidentalis,Night Parrot,34981577505.166,2049637.59978671
348,3,282,Macrotis lagotis,Greater Bilby,34981577505.166,2049637.59978671
348,3,83160,Liopholis kintorei,"Great Desert Skink, Tjakura, Warrarna, Mulyamiji",34981577505.166,2049637.59978671
349,3,747,Neophema chrysogaster,Orange-bellied Parrot,75825157.8867188,49509.8582622093
349,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",75825157.8867188,49509.8582622093
349,3,56791,Craterocephalus fluviatilis,Murray Hardyhead,75825157.8867188,49509.8582622093
350,3,747,Neophema chrysogaster,Orange-bellied Parrot,39626958.6484375,25370.9506897322
350,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",39626958.6484375,25370.9506897322
350,3,87645,Miniopterus orianae bassanii,Southern Bent-wing Bat,39626958.6484375,25370.9506897322
351,3,747,Neophema chrysogaster,Orange-bellied Parrot,433116389.507813,107139.838378914
351,3,906,Pedionomus torquatus,Plains-wanderer,433116389.507813,107139.838378914
351,3,82338,Anthochaera phrygia,Regent Honeyeater,433116389.507813,107139.838378914
352,3,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",36540990.5898438,24262.0815019538
352,3,229,Setonix brachyurus,Quokka,36540990.5898438,24262.0815019538
352,3,1765,Chelonia mydas,Green Turtle,36540990.5898438,24262.0815019538
353,3,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",448095867.164063,191422.682833159
353,3,90381,Thinornis cucullatus cucullatus,"Eastern Hooded Plover, Eastern Hooded Plover",448095867.164063,191422.682833159
353,3,747,Neophema chrysogaster,Orange-bellied Parrot,448095867.164063,191422.682833159
354,3,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",6228072758.96875,1452927.27386706
354,3,90381,Thinornis cucullatus cucullatus,"Eastern Hooded Plover, Eastern Hooded Plover",6228072758.96875,1452927.27386706
354,3,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",6228072758.96875,1452927.27386706
355,3,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",1131337557.07031,319022.852365029
355,3,90381,Thinornis cucullatus cucullatus,"Eastern Hooded Plover, Eastern Hooded Plover",1131337557.07031,319022.852365029
355,3,96,Pseudomys novaehollandiae,"New Holland Mouse, Pookila",1131337557.07031,319022.852365029
356,3,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",267341839.152344,105382.53500205
356,3,90381,Thinornis cucullatus cucullatus,"Eastern Hooded Plover, Eastern Hooded Plover",267341839.152344,105382.53500205
356,3,87597,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna,267341839.152344,105382.53500205
357,3,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",1408553590.92188,576451.211156894
357,3,83091,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum,1408553590.92188,576451.211156894
357,3,331,Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",1408553590.92188,576451.211156894
358,3,906,Pedionomus torquatus,Plains-wanderer,136263321.527344,56768.5354835015
358,3,8301,Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",136263321.527344,56768.5354835015
358,3,282,Macrotis lagotis,Greater Bilby,136263321.527344,56768.5354835015
359,3,906,Pedionomus torquatus,Plains-wanderer,7152391192.23438,1704513.80685417
359,3,82338,Anthochaera phrygia,Regent Honeyeater,7152391192.23438,1704513.80685417
359,3,744,Lathamus discolor,Swift Parrot,7152391192.23438,1704513.80685417
360,3,906,Pedionomus torquatus,Plains-wanderer,194276766.234375,89261.2739538749
360,3,82338,Anthochaera phrygia,Regent Honeyeater,194276766.234375,89261.2739538749
360,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",194276766.234375,89261.2739538749
361,3,906,Pedionomus torquatus,Plains-wanderer,457336184.566406,160085.74194648
361,3,82338,Anthochaera phrygia,Regent Honeyeater,457336184.566406,160085.74194648
361,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",457336184.566406,160085.74194648
362,3,906,Pedionomus torquatus,Plains-wanderer,38526844.0625,24975.6506851437
362,3,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,38526844.0625,24975.6506851437
362,3,744,Lathamus discolor,Swift Parrot,38526844.0625,24975.6506851437
363,3,906,Pedionomus torquatus,Plains-wanderer,769872087.023438,246965.353567506
363,3,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,769872087.023438,246965.353567506
363,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",769872087.023438,246965.353567506
364,3,906,Pedionomus torquatus,Plains-wanderer,5572129429.08203,982230.672551456
364,3,744,Lathamus discolor,Swift Parrot,5572129429.08203,982230.672551456
364,3,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",5572129429.08203,982230.672551456
365,3,906,Pedionomus torquatus,Plains-wanderer,37947645.3671875,24767.5294003897
365,3,744,Lathamus discolor,Swift Parrot,37947645.3671875,24767.5294003897
365,3,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",37947645.3671875,24767.5294003897
366,3,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",5009379100.27539,1560201.70584733
366,3,1765,Chelonia mydas,Green Turtle,5009379100.27539,1560201.70584733
